1pRank,2pRank,n,p1_win,p1_rate
16,0,69,48,0.6956521739130435
16,1,12,8,0.6666666666666666
16,2,22,20,0.9090909090909091
16,3,9,7,0.7777777777777778
16,4,14,10,0.7142857142857143
16,5,16,12,0.75
16,6,112,99,0.8839285714285714
16,7,74,66,0.8918918918918919
16,8,133,114,0.8571428571428571
16,9,186,162,0.8709677419354839
16,10,167,137,0.8203592814371258
16,11,898,670,0.7461024498886414
16,12,1030,772,0.7495145631067961
16,13,2918,2165,0.7419465387251543
16,14,10106,7122,0.7047298634474569
16,15,16986,10425,0.6137407276580713
16,16,10888,5421,0.497887582659809
16,17,10573,4292,0.4059396576184621
16,18,10335,3473,0.33604257377842284
16,19,2023,487,0.240731586752348
16,20,490,109,0.22244897959183674
16,21,884,184,0.2081447963800905
16,22,59,6,0.1016949152542373
16,23,32,4,0.125
16,24,22,0,0
16,25,16,0,0
16,26,24,0,0
16,27,2,0,0
16,28,1,0,0
16,29,6,0,0
17,0,46,41,0.8913043478260869
17,1,9,7,0.7777777777777778
17,2,4,4,1
17,3,15,13,0.8666666666666667
17,4,12,11,0.9166666666666666
17,5,13,11,0.8461538461538461
17,6,21,18,0.8571428571428571
17,7,55,45,0.8181818181818182
17,8,80,69,0.8625
17,9,115,105,0.9130434782608695
17,10,104,72,0.6923076923076923
17,11,134,106,0.7910447761194029
17,12,845,660,0.7810650887573964
17,13,743,521,0.7012113055181696
17,14,2823,2154,0.7630180658873539
17,15,14923,10414,0.6978489579843196
17,16,9955,5911,0.5937719738824712
17,17,10022,5036,0.5024945120734384
17,18,10319,4253,0.4121523403430565
17,19,6989,2388,0.34167978251538134
17,20,1357,319,0.23507737656595432
17,21,722,170,0.23545706371191136
17,22,273,47,0.17216117216117216
17,23,25,2,0.08
17,24,16,2,0.125
17,25,29,5,0.1724137931034483
17,26,10,2,0.2
17,27,21,0,0
17,28,2,0,0
17,29,2,0,0
18,0,61,55,0.9016393442622951
18,1,9,9,1
18,2,16,12,0.75
18,3,14,12,0.8571428571428571
18,4,14,12,0.8571428571428571
18,5,15,12,0.8
18,6,26,20,0.7692307692307693
18,7,5,5,1
18,8,106,90,0.8490566037735849
18,9,118,104,0.8813559322033898
18,10,141,119,0.8439716312056738
18,11,101,78,0.7722772277227723
18,12,222,198,0.8918918918918919
18,13,958,710,0.7411273486430062
18,14,968,733,0.7572314049586777
18,15,5147,3803,0.7388770157373227
18,16,9745,6468,0.6637249871729092
18,17,10129,6023,0.5946292822588607
18,18,10751,5258,0.4890707841131058
18,19,7889,3258,0.4129800988718469
18,20,7173,2483,0.34615920814164225
18,21,1898,512,0.2697576396206533
18,22,429,88,0.20512820512820512
18,23,384,93,0.2421875
18,24,24,1,0.041666666666666664
18,25,26,3,0.11538461538461539
18,26,27,1,0.037037037037037035
18,27,38,4,0.10526315789473684
18,28,16,0,0
19,0,25,22,0.88
19,1,3,3,1
19,2,3,3,1
19,4,7,4,0.5714285714285714
19,5,2,2,1
19,6,8,7,0.875
19,8,15,13,0.8666666666666667
19,9,95,87,0.9157894736842105
19,10,76,74,0.9736842105263158
19,11,81,74,0.9135802469135802
19,12,107,102,0.9532710280373832
19,13,107,92,0.8598130841121495
19,14,396,322,0.8131313131313131
19,15,1113,881,0.7915543575920935
19,16,1917,1430,0.7459572248304642
19,17,6748,4488,0.6650859513930053
19,18,7948,4637,0.5834172118772019
19,19,6023,3096,0.5140295533787149
19,20,5767,2378,0.41234610716143577
19,21,5220,1763,0.33773946360153256
19,22,576,161,0.2795138888888889
19,23,138,35,0.2536231884057971
19,24,87,19,0.21839080459770116
19,25,8,3,0.375
19,26,7,1,0.14285714285714285
19,27,16,3,0.1875
19,28,10,0,0
19,29,8,2,0.25
20,0,15,15,1
20,1,3,3,1
20,2,2,2,1
20,3,3,2,0.6666666666666666
20,4,2,2,1
20,5,6,4,0.6666666666666666
20,6,4,4,1
20,8,15,13,0.8666666666666667
20,9,12,10,0.8333333333333334
20,10,39,37,0.9487179487179487
20,11,43,39,0.9069767441860465
20,12,81,78,0.9629629629629629
20,13,80,74,0.925
20,14,91,86,0.945054945054945
20,15,800,638,0.7975
20,16,497,390,0.7847082494969819
20,17,1379,1015,0.7360406091370558
20,18,7221,4677,0.6476942251765684
20,19,5764,3354,0.5818875780707842
20,20,5900,2931,0.49677966101694915
20,21,5527,2253,0.407635245160123
20,22,3264,1013,0.31035539215686275
20,23,428,118,0.2757009345794392
20,24,97,24,0.24742268041237114
20,25,89,15,0.16853932584269662
20,26,20,4,0.2
20,27,14,2,0.14285714285714285
20,28,4,0,0
20,29,8,0,0
21,0,35,31,0.8857142857142857
21,1,4,2,0.5
21,2,4,4,1
21,3,9,7,0.7777777777777778
21,4,7,4,0.5714285714285714
21,5,7,7,1
21,6,14,14,1
21,7,4,2,0.5
21,8,14,14,1
21,9,20,18,0.9
21,10,20,20,1
21,11,55,53,0.9636363636363636
21,12,110,102,0.9272727272727272
21,13,87,71,0.8160919540229885
21,14,88,77,0.875
21,15,148,116,0.7837837837837838
21,16,868,710,0.8179723502304147
21,17,612,445,0.7271241830065359
21,18,1901,1414,0.7438190426091531
21,19,5143,3312,0.6439821116080109
21,20,5261,2983,0.5670024710131154
21,21,5605,2807,0.5008028545941124
21,22,3413,1420,0.41605625549370057
21,23,2876,953,0.33136300417246173
21,24,291,86,0.29553264604810997
21,25,171,42,0.24561403508771928
21,26,75,8,0.10666666666666667
21,27,7,2,0.2857142857142857
21,28,8,0,0
21,29,4,0,0
22,0,19,16,0.8421052631578947
22,2,2,0,0
22,3,1,1,1
22,4,2,2,1
22,5,1,1,1
22,6,7,7,1
22,7,3,3,1
22,8,8,8,1
22,9,6,6,1
22,10,8,6,0.75
22,11,12,11,0.9166666666666666
22,12,44,40,0.9090909090909091
